access_code,state_code,access_flag,add_date,expire_date,status
AJ909,CA,0,20090519,20170514,A
AJ910,CA,0,20090519,20170514,A
AJ921,CA,0,20090519,20170514,A
AJ928,CA,0,20090519,20170514,A
AJ946,CA,0,20090519,20170514,A
AJ956,CA,0,20090519,20170514,A
AJ965,CA,0,20090519,20170514,A
AJ969,CA,0,20090519,20170514,A
AJ975,CA,0,20090519,20170514,A
AJ996,CA,0,20090519,20170514,A
AK115,CA,0,20090519,20170514,A
AK503,CA,0,20090519,20170514,A
AK535,CA,0,20090519,20170514,A
AK573,CA,0,20090519,20170514,A
AK580,CA,0,20090519,20170514,A
AK596,CA,0,20090519,20170514,A
AK598,CA,0,20090519,20170514,A
AK600,CA,0,20090519,20170514,A
AK609,CA,0,20090519,20170514,A
AK643,CA,0,20090519,20170514,A
AK653,CA,0,20090519,20170514,A
AK654,CA,0,20090519,20170514,A
AK695,CA,0,20090519,20170514,A
AK698,CA,0,20090519,20170514,A
AK714,CA,0,20090519,20170514,A
AK754,CA,0,20090519,20170514,A
AK760,CA,0,20090519,20170514,A
AK766,CA,0,20090519,20170514,A
AK767,CA,0,20090519,20170514,A
AK782,CA,0,20090519,20170514,A
AK783,CA,0,20090519,20170514,A
AK792,CA,0,20090519,20170514,A
AK804,CA,0,20090519,20170514,A
AK834,CA,0,20090519,20170514,A
AK837,CA,0,20090519,20170514,A
AK853,CA,0,20090519,20170514,A
AM007,CA,0,20090519,20170514,A
AM010,CA,0,20090519,20170514,A
AM019,CA,0,20090519,20170514,A
AM031,CA,0,20090519,20170514,A
AM036,CA,0,20090519,20170514,A
AM037,CA,0,20090519,20170514,A
AM040,CA,0,20090519,20170514,A
AM069,CA,0,20090519,20170514,A
AM074,CA,0,20090519,20170514,A
AM086,CA,0,20090519,20170514,A
AM089,CA,0,20090519,20170514,A
AM095,CA,0,20090519,20170514,A
AM143,CA,0,20090519,20170514,A
AM147,CA,0,20090519,20170514,A
AM162,CA,0,20090519,20170514,A
AM166,CA,0,20090519,20170514,A
AM179,CA,0,20090519,20170514,A
AM185,CA,0,20090519,20170514,A
AM192,CA,0,20090519,20170514,A
AM200,CA,0,20090519,20170514,A
AM201,CA,0,20090519,20170514,A
AM202,CA,0,20090519,20170514,A
AM203,CA,0,20090519,20170514,A
AM207,CA,0,20090519,20170514,A
AM209,CA,0,20090519,20170514,A
AM216,CA,0,20090519,20170514,A
AM229,CA,0,20090519,20170514,A
AM233,CA,0,20090519,20170514,A
AM239,CA,0,20090519,20170514,A
AM243,CA,0,20090519,20170514,A
AM246,CA,0,20090519,20170514,A
AM258,CA,0,20090519,20170514,A
AM265,CA,0,20090519,20170514,A
AM283,CA,0,20090519,20170514,A
AM286,CA,0,20090519,20170514,A
AM289,CA,0,20090519,20170514,A
AM309,CA,0,20090519,20170514,A
AM316,CA,0,20090519,20170514,A
AM326,CA,0,20090519,20170514,A
AM359,CA,0,20090519,20170514,A
AM373,CA,0,20090519,20170514,A
AM377,CA,0,20090519,20170514,A
AM382,CA,0,20090519,20170514,A
AM383,CA,0,20090519,20170514,A
AM394,CA,0,20090519,20170514,A
AM396,CA,0,20090519,20170514,A
AM397,CA,0,20090519,20170514,A
AM410,CA,0,20090519,20170514,A
AM417,CA,0,20090519,20170514,A
AM420,CA,0,20090519,20170514,A
AM457,CA,0,20090519,20170514,A
AM463,CA,0,20090519,20170514,A
AM471,CA,0,20090519,20170514,A
AM485,CA,0,20090519,20170514,A
AM517,CA,0,20090519,20170514,A
AM523,CA,0,20090519,20170514,A
AM535,CA,0,20090519,20170514,A
AM537,CA,0,20090519,20170514,A
AM539,CA,0,20090519,20170514,A
AM562,CA,0,20090519,20170514,A
AM563,CA,0,20090519,20170514,A
AM585,CA,0,20090519,20170514,A
AM587,CA,0,20090519,20170514,A
AM598,CA,0,20090519,20170514,A
AM613,CA,0,20090519,20170514,A
AM617,CA,0,20090519,20170514,A
AM622,CA,0,20090519,20170514,A
AM651,CA,0,20090519,20170514,A
AM652,CA,0,20090519,20170514,A
AM656,CA,0,20090519,20170514,A
AM658,CA,0,20090519,20170514,A
AM661,CA,0,20090519,20170514,A
AM670,CA,0,20090519,20170514,A
AM676,CA,0,20090519,20170514,A
AM679,CA,0,20090519,20170514,A
AM680,CA,0,20090519,20170514,A
AM685,CA,0,20090519,20170514,A
AM686,CA,0,20090519,20170514,A
AM692,CA,0,20090519,20170514,A
AM725,CA,0,20090519,20170514,A
AM734,CA,0,20090519,20170514,A
AM743,CA,0,20090519,20170514,A
AM747,CA,0,20090519,20170514,A
AM749,CA,0,20090519,20170514,A
AM750,CA,0,20090519,20170514,A
AM753,CA,0,20090519,20170514,A
AM765,CA,0,20090519,20170514,A
AM767,CA,0,20090519,20170514,A
AM796,CA,0,20090519,20170514,A
AM801,CA,0,20090519,20170514,A
AM822,CA,0,20090519,20170514,A
AM824,CA,0,20090519,20170514,A
AM834,CA,0,20090519,20170514,A
AM840,CA,0,20090519,20170514,A
AM847,CA,0,20090519,20170514,A
AM858,CA,0,20090519,20170514,A
AM860,CA,0,20090519,20170514,A
AM894,CA,0,20090519,20170514,A
AM902,CA,0,20090519,20170514,A
AM903,CA,0,20090519,20170514,A
AM911,CA,0,20090519,20170514,A
AM913,CA,0,20090519,20170514,A
AM915,CA,0,20090519,20170514,A
AM923,CA,0,20090519,20170514,A
AM924,CA,0,20090519,20170514,A
AM934,CA,0,20090519,20170514,A
AM935,CA,0,20090519,20170514,A
AM936,CA,0,20090519,20170514,A
AM962,CA,0,20090519,20170514,A
AM990,CA,0,20090519,20170514,A
AM995,CA,0,20090519,20170514,A
AP003,CA,0,20090519,20170514,A
AP004,CA,0,20090519,20170514,A
AP006,CA,0,20090519,20170514,A
AP007,CA,0,20090519,20170514,A
AP040,CA,0,20090519,20170514,A
AP041,CA,0,20090519,20170514,A
AP063,CA,0,20090519,20170514,A
AP099,CA,0,20090519,20170514,A
AP119,CA,0,20090519,20170514,A
AP120,CA,0,20090519,20170514,A
AP131,CA,0,20090519,20170514,A
AP163,CA,0,20090519,20170514,A
AP172,CA,0,20090519,20170514,A
AP189,CA,0,20090519,20170514,A
AQ001,CA,0,20090519,20170514,A
AQ003,CA,0,20090519,20170514,A
AQ010,CA,0,20090519,20170514,A
AQ015,CA,0,20090519,20170514,A
AQ017,CA,0,20090519,20170514,A
AQ024,CA,0,20090519,20170514,A
AQ026,CA,0,20090519,20170514,A
AQ036,CA,0,20090519,20170514,A
AQ037,CA,0,20090519,20170514,A
AQ038,CA,0,20090519,20170514,A
AQ048,CA,0,20090519,20170514,A
AQ058,CA,0,20090519,20170514,A
AQ062,CA,0,20090519,20170514,A
AQ068,CA,0,20090519,20170514,A
AQ071,CA,0,20090519,20170514,A
AQ075,CA,0,20090519,20170514,A
AQ082,CA,0,20090519,20170514,A
AQ093,CA,0,20090519,20170514,A
AQ098,CA,0,20090519,20170514,A
AQ139,CA,0,20090519,20170514,A
AQ140,CA,0,20090519,20170514,A
AQ143,CA,0,20090519,20170514,A
AQ158,CA,0,20090519,20170514,A
