Location,Node,Relationship
0136098,CP1531000,R
0136099,CP1532000,R
0136100,CP1533000,R
0136101,CP1534000,R
0136102,CP1535000,R
0136106,CP5117000,R
0136107,CP5130000,R
0136108,CP5131000,R
0136109,CP5132000,R
0136110,CP5133000,R
0136111,CP5134000,R
0136112,CP5135000,R
0136113,CP5136000,R
0136114,CP5137000,R
0136115,CP5139000,R
0136116,CP5202000,R
0136117,CP5203000,R
0136118,CP5204000,R
0136119,CP5205000,R
0136120,CP5206000,R
0136121,CP5207000,R
0136122,CP5208000,R
0136123,CP5209000,R
0136124,CP5210000,R
0136125,CP5211000,R
0136126,CP5212000,R
0136127,CP5213000,R
0136128,CP5214000,R
0136129,CP5215000,R
0136130,CP5216000,R
0136131,CP5217000,R
0136132,CP5221000,R
0136133,CP5222000,R
0136134,CP5223000,R
0136135,IP1048000,R
0136136,CP5447000,R
0136137,CP5450000,R
0136138,CP5451000,R
0136139,CP5452000,R
0136140,CP5453000,R
0136141,CP5454000,R
0136142,CP5455000,R
0136143,CP5456000,R
0136144,IS0001100,R
0136146,IP1052100,R
0136147,IP1052200,R
0136148,IP1052300,R
0136149,IP1052400,R
0136150,IS0016000,R
0136151,IS0015000,R
0136152,IS0014000,R
0136153,IS0013000,R
0136154,E12008FTP,R
0136155,F40060FTP,R
0136159,IS0307000,R
0137001,A36235000,R
0137009,F36023000,R
0137012,B36035000,R
0137013,F38021000,R
0137014,A11099000,R
0137028,E11131000,R
0137029,B36119000,R
0137030,C39107000,R
0137031,F44194000,R
0137032,B36126000,R
0137033,B36131000,R
0137034,E36132000,R
0137035,F44210000,R
0137036,E10152000,R
0137037,E10153000,R
0137043,B36170000,R
0137044,B36174000,R
0137045,B36177000,R
0137046,C49008000,R
0137048,B36004000,R
0137049,B36011000,R
0137050,B14154000,R
0137054,E47009000,R
0137055,E47007000,R
0137058,B15035000,R
0137059,C07010000,R
0137060,C07014000,R
0137061,C33079000,R
0137062,C21007000,R
0137063,E43048000,R
0137064,E11058000,R
0137065,B36076000,R
0137068,F44086000,R
0137069,E47014000,R
0137070,B15044000,R
0137071,C39159000,R
0137072,C39158000,R
0137074,E34020000,R
0137075,B23020000,R
0137077,C39172000,R
0137078,E41025000,R
0137079,D38022000,R
0137080,A36114000,R
0137082,D45015000,R
0137083,D02005000,R
0137084,D48062000,R
0137085,D48061000,R
0137086,D03045000,R
0137087,D38035000,R
0137088,F44231000,R
